mode,board,sample_index,period_target_us,timestamp_us,delta_us,jitter_us,queue_latency_us,deadline_miss_count
freertos,pico,472,10000,4710949,10000,0,7,0
freertos,pico,473,10000,4720949,10000,0,7,0
freertos,pico,474,10000,4730949,10000,0,7,0
freertos,pico,475,10000,4740949,10000,0,7,0
freertos,pico,476,10000,4750949,10000,0,7,0
freertos,pico,477,10000,4760949,10000,0,7,0
freertos,pico,478,10000,4770949,10000,0,7,0
freertos,pico,479,10000,4780949,10000,0,7,0
freertos,pico,480,10000,4790949,10000,0,7,0
freertos,pico,481,10000,4800949,10000,0,7,0
freertos,pico,482,10000,4810949,10000,0,7,0
freertos,pico,483,10000,4820949,10000,0,7,0
freertos,pico,484,10000,4830949,10000,0,7,0
freertos,pico,485,10000,4840949,10000,0,7,0
freertos,pico,486,10000,4850949,10000,0,7,0
freertos,pico,487,10000,4860949,10000,0,7,0
freertos,pico,488,10000,4870949,10000,0,7,0
freertos,pico,489,10000,4880949,10000,0,7,0
freertos,pico,490,10000,4890949,10000,0,7,0
freertos,pico,491,10000,4900949,10000,0,7,0
freertos,pico,492,10000,4910949,10000,0,7,0
freertos,pico,493,10000,4920949,10000,0,7,0
freertos,pico,494,10000,4930949,10000,0,7,0
freertos,pico,495,10000,4940949,10000,0,7,0
freertos,pico,496,10000,4950949,10000,0,7,0
freertos,pico,497,10000,4960949,10000,0,7,0
freertos,pico,498,10000,4970949,10000,0,7,0
freertos,pico,499,10000,4980949,10000,0,7,0
freertos,pico,500,10000,4990949,10000,0,7,0
freertos,pico,501,10000,5000949,10000,0,7,0
freertos,pico,502,10000,5010949,10000,0,7,0
freertos,pico,503,10000,5020949,10000,0,7,0
freertos,pico,504,10000,5030949,10000,0,7,0
freertos,pico,505,10000,5040949,10000,0,7,0
freertos,pico,506,10000,5050949,10000,0,7,0
freertos,pico,507,10000,5060949,10000,0,7,0
freertos,pico,508,10000,5070949,10000,0,7,0
freertos,pico,509,10000,5080949,10000,0,7,0
freertos,pico,510,10000,5090949,10000,0,7,0
freertos,pico,511,10000,5100949,10000,0,7,0
freertos,pico,512,10000,5110949,10000,0,7,0
freertos,pico,513,10000,5120949,10000,0,7,0
freertos,pico,514,10000,5130949,10000,0,7,0
freertos,pico,515,10000,5140949,10000,0,7,0
freertos,pico,516,10000,5150949,10000,0,7,0
freertos,pico,517,10000,5160949,10000,0,7,0
freertos,pico,518,10000,5170949,10000,0,7,0
freertos,pico,519,10000,5180949,10000,0,7,0
freertos,pico,520,10000,5190949,10000,0,7,0
freertos,pico,521,10000,5200949,10000,0,7,0
freertos,pico,522,10000,5210949,10000,0,7,0
freertos,pico,523,10000,5220949,10000,0,7,0
freertos,pico,524,10000,5230949,10000,0,7,0
freertos,pico,525,10000,5240949,10000,0,7,0
freertos,pico,526,10000,5250949,10000,0,7,0
freertos,pico,527,10000,5260949,10000,0,7,0
freertos,pico,528,10000,5270949,10000,0,7,0
freertos,pico,529,10000,5280949,10000,0,7,0
freertos,pico,530,10000,5290949,10000,0,7,0
freertos,pico,531,10000,5300949,10000,0,7,0
freertos,pico,532,10000,5310949,10000,0,7,0
freertos,pico,533,10000,5320949,10000,0,7,0
freertos,pico,534,10000,5330949,10000,0,7,0
freertos,pico,535,10000,5340949,10000,0,7,0
freertos,pico,536,10000,5350949,10000,0,7,0
freertos,pico,537,10000,5360949,10000,0,7,0
freertos,pico,538,10000,5370949,10000,0,7,0
freertos,pico,539,10000,5380949,10000,0,7,0
freertos,pico,540,10000,5390949,10000,0,7,0
freertos,pico,541,10000,5400949,10000,0,7,0
freertos,pico,542,10000,5410949,10000,0,7,0
freertos,pico,543,10000,5420949,10000,0,7,0
freertos,pico,544,10000,5430949,10000,0,7,0
freertos,pico,545,10000,5440949,10000,0,7,0
freertos,pico,546,10000,5450949,10000,0,7,0
freertos,pico,547,10000,5460949,10000,0,7,0
